PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40745466,Combining a diet rich in fermentable carbohydrates with metformin improves glycaemic control and reshapes the gut microbiota in people with prediabetes.,2025,"Natural H S Chu, James Ling, Emily W M Poon, Qianbo Song, Zhong Zuo, Juliana C N Chan, Elaine Chow","Department of Medicine and Therapeutics, Prince of Wales Hospital, the Chinese University of Hong Kong, Hong Kong SAR, China., Department of Medicine and Therapeutics, Prince of Wales Hospital, the Chinese University of Hong Kong, Hong Kong SAR, China., Department of Medicine and Therapeutics, Prince of Wales Hospital, the Chinese University of Hong Kong, Hong Kong SAR, China., School of Pharmacy, the Chinese University of Hong Kong, Hong Kong SAR, China., School of Pharmacy, the Chinese University of Hong Kong, Hong Kong SAR, China., Department of Medicine and Therapeutics, Prince of Wales Hospital, the Chinese University of Hong Kong, Hong Kong SAR, China., Department of Medicine and Therapeutics, Prince of Wales Hospital, the Chinese University of Hong Kong, Hong Kong SAR, China. e.chow@cuhk.edu.hk.",N/A
40745361,Periodontal health intervention for oral health-related outcomes in older type 2 diabetes patients: a randomized controlled trial in a Chinese tertiary hospital.,2025,Hanping Shi,"Department of Stomatology, Fujian Medical University Union Hospital, No. 29 Xinquan Road, Gulou District, Fuzhou City, Fujian Province, China. 54251118@qq.com.",N/A
40745111,Efficacy and safety of insulin sensitisers for treating type 2 diabetes: a network meta-analysis.,2025,"Gerile Huang, Yujie Li, YuQi Shang, Huiduo Wang, Wenjing Zhang, Hao Guo","Department of Pharmacy, Inner Mongolia People's Hospital, Hohhot, 010017, Inner Mongolia, China., Department of Pharmacy, Inner Mongolia People's Hospital, Hohhot, 010017, Inner Mongolia, China., Department of Pharmacy, Inner Mongolia People's Hospital, Hohhot, 010017, Inner Mongolia, China., Department of Pharmacy, Inner Mongolia People's Hospital, Hohhot, 010017, Inner Mongolia, China., Department of Pharmacy, Inner Mongolia People's Hospital, Hohhot, 010017, Inner Mongolia, China., Department of Pharmacy, Inner Mongolia People's Hospital, Hohhot, 010017, Inner Mongolia, China. guohao19870323@yeah.net.",N/A
40745048,Polypeptides synthesized by common bacteria in the human gut improve rodent metabolism.,2025,"Vita Sereika-Bejder, Kristian Strømgaard","Department of Drug Design and Pharmacology, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark., Department of Drug Design and Pharmacology, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.",N/A
40744994,Hepatocyte KCTD17-mediated SERPINA3 inhibition determines liver fibrosis in metabolic dysfunction-associated steatohepatitis.,2025,"Yelin Jeong, Ah-Reum Oh, Young Hoon Jung, Kyung Hee Jung, Seongju Lee, Michele Carrer, KyeongJin Kim","Department of Biomedical Sciences, College of Medicine, Incheon, Republic of Korea., Department of Biomedical Sciences, College of Medicine, Incheon, Republic of Korea., Department of Biomedical Sciences, College of Medicine, Incheon, Republic of Korea., Department of Biomedical Sciences, College of Medicine, Incheon, Republic of Korea., Research Center for Controlling Intercellular Communication, Incheon, Republic of Korea., Ionis Pharmaceuticals Inc., Carlsbad, CA, USA., Department of Biomedical Sciences, College of Medicine, Incheon, Republic of Korea. kimkj@inha.ac.kr.",N/A
40744428,Therapeutic Needs in Solid Organ Transplant Recipients: The American Society of Transplantation (AST) Patient Survey.,2025,William E Fitzsimmons,"Colleges of Pharmacy and Medicine, University of Illinois at Chicago, Chicago, IL.",N/A
40744148,Continuous glucose monitoring in gestational diabetes mellitus: hope or hype?,2025,Samuel Leathwick,"Intuitive Therapeutics, Hamilton, Waikato, New Zealand.",N/A
40742574,Nuclear receptor FXR inhibits ferroptosis to alleviate hepatic ischemia-reperfusion injury by targeting GPX4 in a mouse model.,2025,"Mi Chen, Shuang Guo, Xingqiong Huang, Qigui Mo, Qingjie Chen, Shengnan Zhang, Youzhi Zhang, Chao Liu","Hubei Key Laboratory of Diabetes and Angiopathy, School of Pharmacy, Hubei University of Science and Technology, Xianning, 437100, PR China., Hubei Key Laboratory of Diabetes and Angiopathy, School of Pharmacy, Hubei University of Science and Technology, Xianning, 437100, PR China., Hubei Key Laboratory of Diabetes and Angiopathy, School of Pharmacy, Hubei University of Science and Technology, Xianning, 437100, PR China., Hubei Key Laboratory of Diabetes and Angiopathy, School of Pharmacy, Hubei University of Science and Technology, Xianning, 437100, PR China., Hubei Key Laboratory of Diabetes and Angiopathy, School of Pharmacy, Hubei University of Science and Technology, Xianning, 437100, PR China., Hubei Key Laboratory of Diabetes and Angiopathy, School of Pharmacy, Hubei University of Science and Technology, Xianning, 437100, PR China. zsn0106@hbust.edu.cn., Hubei Key Laboratory of Diabetes and Angiopathy, School of Pharmacy, Hubei University of Science and Technology, Xianning, 437100, PR China. yzzhang242@hbust.edu.cn., Hubei Key Laboratory of Diabetes and Angiopathy, School of Pharmacy, Hubei University of Science and Technology, Xianning, 437100, PR China. liu_chao@hbust.edu.cn.",N/A
40742547,Role of the microbiome in diabetic wound healing: implications for new therapeutic approaches.,2025,"Gunjan Adwani, T R Anju, Awanish Kumar","Department of Biotechnology, National Institute of Technology, Raipur, Chhattisgarh, 492010, India., Department of Biotechnology, Newman College, Thodupuzha, Kerala, 685585, India., Department of Biotechnology, National Institute of Technology, Raipur, Chhattisgarh, 492010, India. drawanishkr@gmail.com.",N/A
40742465,Identification and validation of tricarboxylic acid cycle-related diagnostic biomarkers for diabetic nephropathy via weighted gene co-expression network analysis and single-cell transcriptome analysis.,2025,"Xuelin He, Yichen Wu, Guanghui Ying, Min Xia, Qien He, Zhaogui Chen, Qiao Zhang, Li Liu, Yongtao Li","Kidney Disease Center, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, 310003, Zhejiang Province, China. hexuelin2018@zju.edu.cn., State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, 310003, Zhejiang Province, China., Department of Nephrology, Beilun People's Hospital, Ningbo, 315826, Zhejiang Province, China., Department of Nephrology, Beilun People's Hospital, Ningbo, 315826, Zhejiang Province, China., Department of Nephrology, Beilun People's Hospital, Ningbo, 315826, Zhejiang Province, China., Department of Nephrology, Beilun People's Hospital, Ningbo, 315826, Zhejiang Province, China., Phase I Clinical Research Center, The First Affiliated Hospital of Zhejiang Chinese Medical University (Zhejiang Provincial Hospital of Traditional Chinese Medicine), Hangzhou, 310006, China., Department of Library, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, 310003, Zhejiang Province, China., State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, 310003, Zhejiang Province, China. waveli@zju.edu.cn.",N/A
40742304,From the gut to the heart: probiotic therapy with ,2025,"Leonardo Jensen, Leandro Eziquiel de Souza, Maria Claudia C Irigoyen","Instituto do Coração (InCor), Universidade de São Paulo (USP), São Paulo, Brasil., Instituto do Coração (InCor), Universidade de São Paulo (USP), São Paulo, Brasil., Instituto do Coração (InCor), Universidade de São Paulo (USP), São Paulo, Brasil.",N/A
40741951,Voriconazole-induced liver injury: incidence patterns and risk factors in a retrospective cohort.,2025,"Yan Lou, Jing Liu, Yun-Qing Qiu","Department of Clinical Pharmacy, Zhejiang Provincial Key Laboratory for Drug Clinical Research and Evaluation, The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, Zhejiang, People's Republic of China., Department of Clinical Pharmacy, Zhejiang Provincial Key Laboratory for Drug Clinical Research and Evaluation, The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, Zhejiang, People's Republic of China., Department of Clinical Pharmacy, Zhejiang Provincial Key Laboratory for Drug Clinical Research and Evaluation, The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, Zhejiang, People's Republic of China.",N/A
40741878,Alamandine: Protective Effects Against Renal Ischemia-Reperfusion Injury-Induced Renal and Liver Damage in Diabetic Rats.,2025,"Onural Ozhan, Lokman Hekim Tanriverdi, Hakan Parlakpinar","Department of Medical Pharmacology, Faculty of Medicine, Inonu University, Malatya, Türkiye., Department of Medical Pharmacology, Faculty of Medicine, Inonu University, Malatya, Türkiye., Department of Medical Pharmacology, Faculty of Medicine, Inonu University, Malatya, Türkiye.",N/A
40741710,"Exploring Factors, Comorbidities, Quality of Life (DLQI), and Depression (PHQ-9) in Rosacea Patients: A Comprehensive Analysis.",2025,"Namrata Kunwar, Dan Jian, He Yan Hui, Bingxue Bai","Dermatology and Venereology Department, The Second Affiliated Hospital of Harbin Medical University, Harbin, Heilongjiang Province, People's Republic of China., Dermatology and Venereology Department, The Second Affiliated Hospital of Harbin Medical University, Harbin, Heilongjiang Province, People's Republic of China., Dermatology and Venereology Department, The Second Affiliated Hospital of Harbin Medical University, Harbin, Heilongjiang Province, People's Republic of China., Dermatology and Venereology Department, The Second Affiliated Hospital of Harbin Medical University, Harbin, Heilongjiang Province, People's Republic of China.",N/A
40741678,"Knowledge, perception, and management of polycystic ovary syndrome among women in Palestine: A mixed-method study.",2025,"Massa Zahdeh, Hussein Hallak","Pharmaceutical Sciences Department, Faculty of Pharmacy, Al-Quds University, Jerusalem, Palestine., Pharmaceutical Sciences Department, Faculty of Pharmacy, Al-Quds University, Jerusalem, Palestine.",N/A
40741551,Expert Consensus Statement on Simplified Glycemic Care in Patients With Type 2 Diabetes Mellitus.,2025,"Dinesh Jiwane, Sanjay Jain, Onkar C Swami","Medical Services, Alembic Pharmaceuticals Ltd., Mumbai, IND., Medical Services, Alembic Pharmaceuticals Ltd., Mumbai, IND., Medical Services, Alembic Pharmaceuticals Ltd., Mumbai, IND.",N/A
40741478,Duodenal mucosal ablation: An emerging therapeutic concept for metabolic dysfunction-associated fatty liver disease.,2025,Cornelius J Fernandez,"Department of Endocrinology and Metabolism, Pilgrim Hospital, United Lincolnshire Hospitals NHS Trust, Boston PE21 9QS, Lincolnshire, United Kingdom.",N/A
40741465,Triple Agonist Therapy: A New Frontier in Treating Type 2 Diabetes and Obesity.,2025,Heather P Whitley,"Department of Pharmacy Practice, Auburn University Harrison College of Pharmacy, Auburn, AL.",N/A
